permutation,update,agent,test number,0
1,2,A1,79,0.9309024604461356
1,2,A1,80,0.9309024604461356
1,2,A1,81,0.9309024604461356
1,2,A1,82,0.9309024604461356
1,2,A1,83,0.9309024604461356
1,2,A1,84,0.9309024604461356
1,2,A1,85,0.9309024604461356
1,2,A1,86,0.9309024604461356
1,2,A1,87,0.9309024604461356
1,2,A1,88,0.9309024604461356
1,2,A1,89,0.9309024604461356
1,2,A1,90,0.9309024604461356
1,2,A1,91,0.9309024604461356
1,2,A1,92,0.9309024604461356
1,2,A1,93,0.9309024604461356
1,2,A1,94,0.9309024604461356
1,2,A1,95,0.9309024604461356
1,2,A1,96,0.9309024604461356
1,2,A1,97,0.9309024604461356
1,2,A1,98,0.9309024604461356
1,2,A1,99,0.9309024604461356
1,2,A1,100,0.9309024604461356
1,2,A2,1,0.8683103622260694
1,2,A2,2,0.8683103622260694
1,2,A2,3,0.8683103622260694
1,2,A2,4,0.8683103622260694
1,2,A2,5,0.8683103622260694
1,2,A2,6,0.8683103622260694
1,2,A2,7,0.8683103622260694
1,2,A2,8,0.8683103622260694
1,2,A2,9,0.8683103622260694
1,2,A2,10,0.8683103622260694
1,2,A2,11,0.8683103622260694
1,2,A2,12,0.8683103622260694
1,2,A2,13,0.8683103622260694
1,2,A2,14,0.8683103622260694
1,2,A2,15,0.8683103622260694
1,2,A2,16,0.8683103622260694
1,2,A2,17,0.8683103622260694
1,2,A2,18,0.8683103622260694
1,2,A2,19,0.8683103622260694
1,2,A2,20,0.8683103622260694
1,2,A2,21,0.8683103622260694
1,2,A2,22,0.8683103622260694
1,2,A2,23,0.8683103622260694
1,2,A2,24,0.8683103622260694
1,2,A2,25,0.8683103622260694
1,2,A2,26,0.8683103622260694
1,2,A2,27,0.8683103622260694
1,2,A2,28,0.8683103622260694
1,2,A2,29,0.8683103622260694
1,2,A2,30,0.8683103622260694
1,2,A2,31,0.8683103622260694
1,2,A2,32,0.8683103622260694
1,2,A2,33,0.8683103622260694
1,2,A2,34,0.8683103622260694
1,2,A2,35,0.8683103622260694
1,2,A2,36,0.8683103622260694
1,2,A2,37,0.8683103622260694
1,2,A2,38,0.8683103622260694
1,2,A2,39,0.8683103622260694
1,2,A2,40,0.8683103622260694
1,2,A2,41,0.8683103622260694
1,2,A2,42,0.8683103622260694
1,2,A2,43,0.8683103622260694
1,2,A2,44,0.8683103622260694
1,2,A2,45,0.8683103622260694
1,2,A2,46,0.8683103622260694
